"","X10","X12","X14","X18","X40","X48","species","area"
"1",191,131,53,150,15,104," A"," A"
"2",185,134,50,147,13,105," A"," A"
"3",200,137,52,144,14,102," A"," A"
"4",173,127,50,144,16,97," A"," A"
"5",171,118,49,153,13,106," A"," A"
"6",160,118,47,140,15,99," A"," A"
"7",188,134,54,151,14,98," A"," B"
"8",186,129,51,143,14,110," A"," C"
"9",174,131,52,144,14,116," A"," C"
"10",163,115,47,142,15,95," A"," D"
"11",190,143,52,141,13,99," A"," D"
"12",174,131,50,150,15,105," A"," D"
"13",201,130,51,148,13,110," A"," D"
"14",190,133,53,154,15,106," A"," D"
"15",182,130,51,147,14,105," A"," E"
"16",184,131,51,137,14,95," A"," E"
"17",177,127,49,134,15,105," A"," E"
"18",178,126,53,157,14,116," A"," F"
"19",210,140,54,149,13,107," A"," G"
"20",182,121,51,147,13,111," A"," G"
"21",186,136,56,148,14,111," A"," G"
"22",158,141,58,145,8,107," C"," P"
"23",146,119,51,140,11,111," C"," P"
"24",151,130,51,140,11,113," C"," P"
"25",122,113,45,131,10,102," C"," P"
"26",138,121,53,139,11,106," C"," P"
"27",132,115,49,139,10,98," C"," P"
"28",131,127,51,136,12,107," C"," P"
"29",135,123,50,129,11,107," C"," P"
"30",125,119,51,140,10,110," C"," P"
"31",130,120,48,137,9,106," C"," P"
"32",130,131,51,141,11,108," C"," P"
"33",138,127,52,138,9,101," C"," P"
"34",130,116,52,143,9,111," C"," P"
"35",143,123,54,142,11,95," C"," P"
"36",154,135,56,144,10,123," C"," P"
"37",147,132,54,138,10,102," C"," P"
"38",141,131,51,140,10,106," C"," P"
"39",131,116,47,130,9,102," C"," P"
"40",144,121,53,137,11,104," C"," Q"
"41",137,146,53,137,10,113," C"," R"
"42",143,119,53,136,9,105," C"," R"
"43",135,127,52,140,10,108," C"," R"
"44",186,107,49,120,14,84," B"," A"
"45",211,122,49,123,16,95," B"," A"
"46",201,114,47,130,14,74," B"," A"
"47",242,131,54,131,16,90," B"," A"
"48",184,108,43,116,16,75," B"," A"
"49",211,118,51,122,15,90," B"," A"
"50",217,122,49,127,15,73," B"," A"
"51",223,127,51,132,16,84," B"," A"
"52",208,125,50,125,14,88," B"," B"
"53",199,124,46,119,13,78," B"," C"
"54",211,129,49,122,13,83," B"," C"
"55",218,126,49,120,15,85," B"," C"
"56",203,122,49,119,14,73," B"," C"
"57",192,116,49,123,15,90," B"," C"
"58",195,123,47,125,15,77," B"," D"
"59",211,122,48,125,14,73," B"," D"
"60",187,123,47,129,14,75," B"," D"
"61",192,109,46,130,13,90," B"," E"
"62",223,124,53,129,13,82," B"," E"
"63",188,114,48,122,12,74," B"," E"
"64",216,120,50,129,15,86," B"," H"
"65",185,114,46,124,15,92," B"," I"
"66",178,119,47,120,13,78," B"," L"
"67",187,111,49,119,16,66," B"," L"
"68",187,112,49,119,14,55," B"," L"
"69",201,130,54,133,13,84," B"," L"
"70",187,120,47,121,15,86," B"," L"
"71",210,119,50,128,14,68," B"," M"
"72",196,114,51,129,14,86," B"," M"
"73",195,110,49,124,13,89," B"," N"
"74",187,124,49,129,14,88," B"," O"
